location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,4,16,1,1,112.5,0.0,25.0,30.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,17,99,1,1,225.0,0.0,25.0,30.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,4,16,1,1,142.5,0.0,25.0,30.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,17,99,1,1,285.0,0.0,25.0,30.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,4,16,1,1,112.5,0.0,25.0,30.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,17,99,1,1,225.0,0.0,25.0,30.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,0,3,1,1,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,4,16,1,1,142.5,0.0,25.0,30.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Single Room,,1,17,99,1,1,285.0,0.0,25.0,30.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,4,16,1,2,75.0,150.0,25.0,30.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,17,99,1,2,150.0,150.0,25.0,30.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,4,16,1,2,95.0,190.0,25.0,30.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,17,99,1,2,190.0,190.0,25.0,30.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,4,16,1,2,75.0,150.0,25.0,30.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,17,99,1,2,150.0,150.0,25.0,30.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,4,16,1,2,95.0,190.0,25.0,30.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,17,99,1,2,190.0,190.0,25.0,30.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,4,16,1,2,75.0,150.0,25.0,30.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,17,99,1,2,150.0,150.0,25.0,30.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,4,16,1,2,95.0,190.0,25.0,30.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,17,99,1,2,190.0,190.0,25.0,30.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,4,16,1,2,75.0,150.0,25.0,30.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,17,99,1,2,150.0,150.0,25.0,30.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,0,3,1,2,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,4,16,1,2,95.0,190.0,25.0,30.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Double Room,,2,17,99,1,2,190.0,190.0,25.0,30.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,4,16,1,3,75.0,150.0,25.0,30.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,17,99,1,3,150.0,150.0,25.0,30.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,4,16,1,3,95.0,190.0,25.0,30.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,17,99,1,3,190.0,190.0,25.0,30.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,4,16,1,3,75.0,150.0,25.0,30.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,17,99,1,3,150.0,150.0,25.0,30.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,4,16,1,3,95.0,190.0,25.0,30.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,17,99,1,3,190.0,190.0,25.0,30.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,4,16,1,3,75.0,150.0,25.0,30.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,17,99,1,3,150.0,150.0,25.0,30.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,4,16,1,3,95.0,190.0,25.0,30.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,17,99,1,3,190.0,190.0,25.0,30.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,4,16,1,3,75.0,150.0,25.0,30.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,17,99,1,3,150.0,150.0,25.0,30.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,0,3,1,3,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,4,16,1,3,95.0,190.0,25.0,30.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Triple  Room,,3,17,99,1,3,190.0,190.0,25.0,30.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,4,16,1,4,75.0,150.0,25.0,30.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,17,99,1,4,150.0,150.0,25.0,30.0,16/03/2026,31/05/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,4,16,1,4,95.0,190.0,25.0,30.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,17,99,1,4,190.0,190.0,25.0,30.0,01/06/2026,31/10/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,4,16,1,4,75.0,150.0,25.0,30.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,17,99,1,4,150.0,150.0,25.0,30.0,01/11/2026,19/12/2026
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,4,16,1,4,95.0,190.0,25.0,30.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,17,99,1,4,190.0,190.0,25.0,30.0,20/12/2026,15/03/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,4,16,1,4,75.0,150.0,25.0,30.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,17,99,1,4,150.0,150.0,25.0,30.0,16/03/2027,31/05/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,4,16,1,4,95.0,190.0,25.0,30.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,17,99,1,4,190.0,190.0,25.0,30.0,01/06/2027,31/10/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,4,16,1,4,75.0,150.0,25.0,30.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,17,99,1,4,150.0,150.0,25.0,30.0,01/11/2027,19/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,0,3,1,4,0.0,0.0,0.0,0.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,4,16,1,4,95.0,190.0,25.0,30.0,20/12/2027,31/12/2027
,Migration Undercanvas Camp Kogatende,,Test,,0,,USD,Family Room,,4,17,99,1,4,190.0,190.0,25.0,30.0,20/12/2027,31/12/2027
