location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,3,11,1,2,0.0,0.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,12,99,1,2,109.0,109.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,3,11,1,2,0.0,0.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,12,99,1,2,99.0,99.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,0,2,1,2,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,3,11,1,2,0.0,0.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Double),test,2,12,99,1,2,109.0,109.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,0.0,0.0,25.0,50.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,109.0,109.0,25.0,50.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,0.0,0.0,25.0,50.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,99.0,99.0,25.0,50.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,0.0,0.0,25.0,50.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,94.0,94.0,25.0,50.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,0.0,0.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,109.0,109.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,0.0,0.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,99.0,99.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,0,2,1,2,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,3,11,1,2,0.0,0.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Twin),test,2,12,99,1,2,109.0,109.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,0.0,0.0,25.0,50.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,96.0,96.0,25.0,50.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,0.0,0.0,25.0,50.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,89.0,89.0,25.0,50.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,0.0,0.0,25.0,50.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,83.0,83.0,25.0,50.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,0.0,0.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,96.0,96.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,0.0,0.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,89.0,89.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,0,2,1,3,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,3,11,1,3,0.0,0.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Standard Rooms (Triple),test,3,12,99,1,3,96.0,96.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,237.0,0.0,25.0,50.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,217.0,0.0,25.0,50.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,207.0,0.0,25.0,50.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,237.0,0.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,217.0,0.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Deluxe Suite,test,1,12,99,1,1,237.0,0.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,12,99,1,1,347.0,0.0,25.0,50.0,01/01/2026,28/02/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,12,99,1,1,337.0,0.0,25.0,50.0,01/03/2026,31/03/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,12,99,1,1,307.0,0.0,25.0,50.0,01/04/2026,31/05/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,12,99,1,1,347.0,0.0,25.0,50.0,01/06/2026,31/10/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,12,99,1,1,337.0,0.0,25.0,50.0,01/11/2026,15/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,0,2,1,1,0.0,0.0,0.0,0.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,3,11,1,1,0.0,0.0,25.0,50.0,16/12/2026,31/12/2026
Kilimanjaro,Airport Planet Lorge & SPA,,test,FALSE,0,FALSE,USD,Executive Suite,test,1,12,99,1,1,347.0,0.0,25.0,50.0,16/12/2026,31/12/2026
