location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,0,4,1,1,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,5,11,1,1,456.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,12,17,1,1,684.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Single Room,test,1,18,99,1,1,912.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,5,11,1,4,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,12,17,1,4,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,18,99,1,4,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,5,11,1,4,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,12,17,1,4,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,18,99,1,4,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,5,11,1,4,218.0,436.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,12,17,1,4,327.0,436.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,18,99,1,4,436.0,436.0,0.0,0.0,15/06/2026,30/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/07/2026,30/09/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,5,11,1,4,304.0,608.0,0.0,0.0,01/07/2026,30/09/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,12,17,1,4,456.0,608.0,0.0,0.0,01/07/2026,30/09/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,18,99,1,4,608.0,608.0,0.0,0.0,01/07/2026,30/09/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,01/10/2026,19/12/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,5,11,1,4,218.0,436.0,0.0,0.0,01/10/2026,19/12/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,12,17,1,4,327.0,436.0,0.0,0.0,01/10/2026,19/12/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,18,99,1,4,436.0,436.0,0.0,0.0,01/10/2026,19/12/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,0,4,1,4,0.0,0.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,5,11,1,4,304.0,608.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,12,17,1,4,456.0,608.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Family Room,test,4,18,99,1,4,608.0,608.0,0.0,0.0,20/12/2026,03/01/2027
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,0,4,1,3,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,5,11,1,3,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,12,17,1,3,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,18,99,1,3,0.0,0.0,0.0,0.0,04/01/2026,28/02/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,0,4,1,3,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
Ambosoli NP,Soroi Ambosoli Camp,,test,FALSE,0,FALSE,USD,Standard Triple Room,test,3,5,11,1,3,0.0,0.0,0.0,0.0,01/03/2026,14/06/2026
