location_name,hotel_name,hotel_group,hotel_desc,inside_restricted_area,margin,ignore_proposal_margin,currency,room_name,room_desc,max_cap,min_age,max_age,min_pax,max_pax,cost,single_supplement,hb_supplement,fb_supplement,start_date,end_date
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,97.5,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,195.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,55.0,0.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,110.0,0.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2026,21/12/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,97.5,0.0,0.0,0.0,01/12/2026,21/12/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,195.0,0.0,0.0,0.0,01/12/2026,21/12/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,0,4,1,1,0.0,0.0,0.0,0.0,01/12/2026,07/01/2027
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,5,12,1,1,110.0,0.0,0.0,0.0,01/12/2026,07/01/2027
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Single Room,Test,1,13,99,1,1,220.0,0.0,0.0,0.0,01/12/2026,07/01/2027
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,08/01/2026,31/01/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,82.5,165.0,0.0,0.0,08/01/2026,31/01/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,165.0,165.0,0.0,0.0,08/01/2026,31/01/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/02/2026,28/02/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,95.0,190.0,0.0,0.0,01/02/2026,28/02/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,190.0,190.0,0.0,0.0,01/02/2026,28/02/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,82.5,165.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,165.0,165.0,0.0,0.0,01/03/2026,31/03/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,55.0,110.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,110.0,110.0,0.0,0.0,01/04/2026,31/05/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/06/2026,30/06/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,82.5,165.0,0.0,0.0,01/06/2026,30/06/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,165.0,165.0,0.0,0.0,01/06/2026,30/06/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/07/2026,31/08/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,95.0,190.0,0.0,0.0,01/07/2026,31/08/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,190.0,190.0,0.0,0.0,01/07/2026,31/08/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,82.5,165.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,165.0,165.0,0.0,0.0,01/09/2026,31/10/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,55.0,110.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,110.0,110.0,0.0,0.0,01/11/2026,30/11/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2026,21/12/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,82.5,165.0,0.0,0.0,01/12/2026,21/12/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,165.0,165.0,0.0,0.0,01/12/2026,21/12/2026
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,0,4,1,2,0.0,0.0,0.0,0.0,01/12/2026,07/01/2027
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,5,12,1,2,95.0,190.0,0.0,0.0,01/12/2026,07/01/2027
Serengeti,Lobo Wildlife Lodge,,Test,FALSE,0,FALSE,USD,Double Room,Test,2,13,99,1,2,190.0,190.0,0.0,0.0,01/12/2026,07/01/2027
